"id_evento","data_publicacao","fonte","titulo","pagina","municipio","localidade","tipo_camada","dimensao_analitica","tipo_relacao_variavel","codigo_variavel","nivel_criticidade","observacao","aproximacao_variavel","nota_analista","cod_loteamento","nivel_confianca_loteamento","papel_no_ciclo","id_caso_pressao","entra_ipst"
"TL_20251227_001","2025-12-27","Tribuna Liberal","Família relata ameaças, perseguição e medo","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alta","sinal_smids_ext","","Evento com características de violência doméstica com potencial de recorrência","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","avaliar"
"TL_20251227_002","2025-12-27","Tribuna Liberal","Apreensão de drogas em operação policial","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","sinal_smids_ext","","Evento criminal com possível recorrência, mas ainda não estruturado em série","nao_identificado","baixo","emergencia","","avaliar"
"TL_20251227_003","2025-12-27","Tribuna Liberal","Homicídio registrado no município","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","sinal_smids_ext","","Violência letal com impacto direto e candidato a série","nao_identificado","baixo","emergencia","","avaliar"
"TL_20251227_004","2025-12-27","Tribuna Liberal","Violência doméstica em bairro da cidade","5","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","aproximacao_variavel","CH_VIOLENCIA_GENERO","Evento alinhado à série de violência de gênero","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","avaliar"
"TL_20251228_001","2025-12-28","Tribuna Liberal","Sumaré e Hortolândia terão 50,3 mil beneficiados com isenção de IPVA para motos","9","Hortolândia","Hortolândia","GOVERNANCA","renda_trabalho","indireta","GOV_ESTADUAL","media","dado_auditavel","","21,6 mil motos isentas em Hortolândia a partir de 2026","até 180cc pessoas físicas","beneficia entregadores e autônomos","interface RT_01 e RT_03","lei altera Lei 13.296/2008","nao"
"TL_20251228_002","2025-12-28","Tribuna Liberal","Zezé afirma que Hortolândia passa por transformação ambiental profunda","5","Hortolândia","Hortolândia","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","","Parques socioambientais","21 usinas solares em prédios públicos","frota elétrica prevista 2026","Município Verde Azul 11ª posição SP","1ª etapa Parque Jd. Amanda entregue 19/12/2025","nao"
"TL_20251228_003","2025-12-28","Tribuna Liberal","Hortolândia torna público planejamento orçamentário para próximos quatro anos - PPA 2026-2029","7","Hortolândia","Hortolândia","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","media","dado_auditavel","","R$347,3mi total 4 anos","R$20,6mi tesouro municipal","11 escolas ampliadas","4 reformas UPA/UBS","2 UBS novas","3 CAPs"
"TL_20251228_004","2025-12-28","Tribuna Liberal","Campo da Mina no Jardim Amanda voltará a receber jogos oficiais em 2026","9","Hortolândia","Jardim Amanda","GOVERNANCA","capital_humano","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","","50% execução","vestiários modernos","grama esmeralda","complexo inclui campo society + quadra poliesportiva + playground + academia ao ar livre","secretário Gleguer Zorzin","351"
"TL_20251229_001","2025-12-29","Tribuna Liberal","Canalização de córrego em Hortolândia utiliza tecnologia que resguarda lagoa","7","Hortolândia","Jardim Amanda","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","media","contexto_sociopolitico","","Bolsacreto (geotêxtil)","5,10m córrego canalizados","proteção lagoa Parque Socioambiental","EMEF Tarsila do Amaral","erosão contida","Parque = 385.000m² total quando concluído"
"TL_20251229_002","2025-12-29","Tribuna Liberal","Hortolândia monitora adequação de guarda-corpos para liberar viaduto da Vila Real","5","Hortolândia","Vila Real","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","","11 mil → 30 mil veículos/dia projetados","Rumo Logística responsável pela obra","galeria subterrânea rompida no Lago da Fé","revitalização Praça Igreja Matriz e centro histórico previstas","63","medio"
"TL_20251229_003","2025-12-29","Tribuna Liberal","Estrada Pedrina Guilherme terá 2,3 km de asfalto recuperado em Hortolândia","7","Hortolândia","Chácaras Recreio Alvorada","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","","Contrapartida Microsoft (2 datacenters)","1,2km recape + 740m duplicação + 1,1km prefeitura","obras iniciadas jan/2024","previsão conclusão 2026","acesso bairros Taquara Branca e Jd. Firenze","327"
"TL_20251229_004","2025-12-29","Tribuna Liberal","Homem é esfaqueado próximo a supermercado do Jardim Amanda II","8","Hortolândia","Jardim Amanda II","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","","Esfaqueamento após desentendimento em via pública","SAMU acionado","vítima encaminhada UPA","identidade preservada","Polícia Civil investiga","2º evento violento na área Jd. Amanda no corpus - E04 tráfico já registrado"
"TL_20251229_005","2025-12-29","Tribuna Liberal","Açougue é autuado por carne imprópria e fraude de energia no Jardim Amanda I","8","Hortolândia","Jardim Amanda","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alta","dado_auditavel","","Operação Polícia Civil + CPFL","fraude medidor energia","carne vencida + sem rotulagem + descongelamento irregular","Vigilância Sanitária","responsável preso e liberado por fiança","evento pontual - não configura série ainda"
"TL_20251230_001","2025-12-30","Tribuna Liberal","Homem é assassinado a tiros durante saidinha temporária em Hortolândia","9","Hortolândia","Jardim Campos Verdes","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","","20 disparos","possível execução","Rua Geraldo Teixeira Lopes","vítima beneficiada por saidinha temporária","SSP registrou 9 assassinatos Hortolândia jan-nov 2025 - dado interno da matéria sustenta agravamento (R20)","Polícia Civil investiga autoria"
"TL_20251230_002","2025-12-30","Tribuna Liberal","Comércio de Hortolândia cresce mais de 270% e impulsiona economia local","7","Hortolândia","Hortolândia","GOVERNANCA","renda_trabalho","indireta","GOV_MUNICIPAL","media","dado_auditavel","","8.534 comércios dez/2025 vs 2.281 em 2016 (+274%)","24 mil trabalhadores","renda média R$3 mil/mês per capita","evasão massa salarial para municípios vizinhos","5 novas unidades/dia","feiras noturnas 125 famílias R$500mil/mês"
"TL_20251231_001","2025-12-31","Tribuna Liberal","Balanço anual — 4 feminicídios em Hortolândia","04","Hortolândia","Regional","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","","Evento com mensuração clara de violência de gênero na RMC com concentração em Hortolândia. Não existe variável IVS direta mas fenômeno possui forte correlação com dimensões de capital humano e estrutura familiar. Avaliar futura criação de proxy para violência doméstica no IVS-H. 4 casos em Hortolândia de 8 regionais = 33% macro-Campinas.","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","sim"
"TL_20251231_002","2025-12-31","Tribuna Liberal","PM apreende 174kg maconha — Jd. Santiago","09","Hortolândia","Jardim Santiago","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","sinal_smids_ext","","Proxy de atividade criminal territorializada. Candidato a revisão para tipo_relacao=direta em próxima atualização se série histórica for viável. Confirmar codbairro Jardim Santiago.","nao_identificado","baixo","emergencia","","avaliar"
"TL_20251231_003","2025-12-31","Tribuna Liberal","Homicídio — Jd. Campos Verdes","09","Hortolândia","Jardim Campos Verdes","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","","Violência letal — nunca contextual (R21). Vítima em saída temporária do sistema prisional. Homicídio é mensurável e tem série histórica possível. Confirmar codbairro Jardim Campos Verdes.","nao_identificado","baixo","emergencia","","avaliar"
"TL_20251231_004","2025-12-31","Tribuna Liberal","Violência doméstica mútua — Parque dos Pinheiros","09","Hortolândia","Parque dos Pinheiros","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","aproximacao_variavel","CH_04","Proxy de violência doméstica. Flagrante PM = ação do Estado mas o evento em si é pressão social. Homem internado com perfuração pulmonar. Confirmar codbairro Parque dos Pinheiros.","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","avaliar"
"TL_20251231_005","2025-12-31","Tribuna Liberal","Impostômetro — Hortolândia lidera região com R$398.5mi","05","Hortolândia","Regional","CONTEXTO","renda_trabalho","contextual","SMIDS_EXT","media","dado_auditavel","","Dado auditável Impostômetro/ACSP. Pressão tributária sobre renda disponível das famílias. Contexto econômico estrutural sem ação do Estado e sem pressão social direta.","nao_aplicavel","baixo","nao_aplicavel","","nao"
"TL_20251231_006","2025-12-31","Tribuna Liberal","Prefeito Zezé Gomes avalia gestão 2025","07","Hortolândia","Regional","GOVERNANCA","capital_humano","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","","Balanço de gestão sem gatilho de pressão identificável. Cita urbanização saneamento saúde educação e Microsoft. GOVERNANCA estrutural — R22: não é resposta a evento específico.","nao_aplicavel","baixo","nao_aplicavel","","nao"
"TL_20251231_007","2025-12-31","Tribuna Liberal","Operação Tapa-Buraco nas avenidas","07","Hortolândia","Regional","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","interface_iu","","Ação recorrente de manutenção viária. 80-100 buracos/dia. Avenidas Emancipação Santana Anhanguera Franceschini. Ação estrutural de rotina — R22: sem gatilho de pressão identificável.","nao_aplicavel","baixo","nao_aplicavel","","nao"
"TL_20260103_001","2026-01-03","Tribuna Liberal","Moradores de Hortolandia voltam a protestar contra mau cheiro da ETE Jatoba","1/4","Hortolândia","Jd. Jatoba / Res. Franceschini","PRESSAO_SOCIAL","infraestrutura_urbana","direta","SMIDS_EXT","alta","dado_auditavel","","Segunda manifestacao contra ETE Jatoba. Sabesp anunciara obras emergenciais ago/2025 (R$28M; prazo set/2025) e nova ETE selada para 2027. Mais de 15 bairros afetados; Jd. Jatoba e Res. Franceschini citados. Impacto documentado: saude; bem-estar e comercio local. R20 satisfeita: materia documenta progressao temporal (anos de reclamacoes; promessas descumpridas). Interface IU_01/IU_02. Chamada de capa p.1; materia completa p.4. | edicao=9642","jd_jatoba","alto","agravamento","IU_ETE_JATOBA_2025","sim"
